RAG Incremental Load: 26 clean chunks, 0 new chunks. Dirty: 0, Deleted: 0
2026-05-15 07:56:48,031 | INFO | backend.ml.inference | Health inference will use CUDA device: NVIDIA GeForce RTX 3060 Laptop GPU
2026-05-15 07:56:51,240 | INFO | iot.serial_reader | Serial collector connected on COM3
2026-05-15 07:56:51,785 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=98 temp=0.0 steps=220 bp=None sos=False
2026-05-15 07:56:51,896 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:56:53,794 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=99 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:56:53,913 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:56:54,481 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_b hr=0 spo2=0 temp=0.0 steps=None bp=139/77 sos=False
2026-05-15 07:56:54,976 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=100 spo2=0 temp=0.0 steps=620 bp=None sos=False
2026-05-15 07:56:55,481 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=0 temp=0.0 steps=184 bp=None sos=False
2026-05-15 07:56:56,484 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=broadcast hr=96 spo2=0 temp=0.0 steps=None bp=None sos=False
2026-05-15 07:56:57,642 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:56:57,802 | WARNING | backend.dependencies | Structured score persistence failed for 54:10:26:01:00:E7: 
2026-05-15 07:56:57,818 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_a hr=96 spo2=99 temp=0.0 steps=220 bp=None sos=False
2026-05-15 07:56:58,055 | INFO | serial_runtime | Serial sample: mac=54:10:26:01:00:E7 type=response_ab hr=96 spo2=99 temp=22.67 steps=220 bp=139/77 sos=False
